fieldType,Product Name,Brand,description,productImageUrl,Category,Sub Category,Prod Code,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,Unit Value,Sale Price,Base Price,GST Rate,GST Amount,Filter 1,Filter 1 Type,Filter 1 Value,additionalInfoTitle1,Filter 2,Filter 2 Type,Filter 2 Value,Filter 3,Filter 3 Type,Filter 3 Value
Product,Century Ply Starline Laminate Bloom Green 80289,Century Ply,"The Centuryply Starline Laminate Bloom Green 80289 is a stunning addition to any home or office. With its glossy finish and solid color design, this laminate is sure to impress. Not only is it beautiful, but it also features crack resistance, uniform thickness, stain resistance, and steam resistance. Measuring at 2440x1220 mm with a thickness of 0.8 mm, this premium laminate product from CenturyLaminates is unmatched in both quality and aesthetics.",https://www.centuryply.com/centurylaminates/productImage/starline-80289-gl-medium.jpg,Wooden Material,Laminate,Bloom Green 80289 G,LMNTGLSBLGEN80289G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Deep Blue 80248,Century Ply,"The Centuryply Starline Laminate in Deep Blue 80248 is a stunning addition to the StarLine collection. Designed with solid colors inspired by Indian architectural masterpieces, this laminate offers a sleek and modern look. Its crack-resistant, uniform thickness, and stain and steam-resistant features make it a durable choice for any home or office. Elevate your space with this beautiful laminate that combines style and functionality.",https://www.centuryply.com/centurylaminates/productImage/deep_blue_80248.jpg,Wooden Material,Laminate,Deep Blue 80248 G,LMNTGLSDEBUE80248G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Grey 80232 G,Century Ply,"Introducing the Centuryply Starline Laminate Grey 80232 G, part of the StarLine collection from CenturyLaminates. This laminate is inspired by Indian Architectural Masterpieces and features a glossy finish with a solid pattern. With a thickness of 0.8mm, this laminate is durable and perfect for use in a variety of settings. Upgrade your space with the Centuryply Starline Laminate Grey 80232 G, a stunning addition to any design project.",https://www.centuryply.com/centurylaminates/productImage/grey-80232-gloss.jpg,Wooden Material,Laminate,Grey 80232 G,LMNTGLSGRGEY80232G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Lunan Red 80193 G,Century Ply,"Introducing the Centuryply Starline Laminate Lunan Red 80193 G, a high-quality laminate that boasts of innovative Virokill technology to keep surfaces safe and hygienic. The solid color design and glossy touch of this laminate add a touch of elegance and sophistication to any interior space. With its highly activated and energized nanoparticles, this laminate physically ruptures and kills microbes, making it the perfect choice for modern homes and offices. Choose the Centuryply Starline Laminate Lunan Red 80193 G for a durable and stylish solution that is also safe and hygienic.",https://www.centuryply.com/centurylaminates/productImage/lunan-red-80193-gloss.jpg,Wooden Material,Laminate,Lunan Red 80193 G,LMNTGLSLURED80193G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate White 80101 G,Century Ply,"Introducing the Centuryply Starline Laminate White 80101 G, a premium quality laminate that adds a touch of elegance to any interior. With a thickness of 0.8mm and uniform thickness, this laminate is crack, stain, and steam resistant, making it perfect for high traffic areas. The StarLine 2020-22 collection is inspired by Indian Architectural Masterpieces and comes with Virokill tech that kills microbes, ensuring a safe and hygienic environment. Upgrade your space with the Centuryply Starline Laminate White 80101 G and experience durability, style, and functionality all in one.",https://www.centuryply.com/centurylaminates/productImage/white_80101.jpg,Wooden Material,Laminate,White 80101 G,LMNTGLSWHWTE80101G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Chiffon 80204 G,Century Ply,"Introducing the Centuryply Starline Laminate Chiffon 80204 G, a stunning addition to your interiors that boasts of crack-resistant, uniform thickness, stain resistance, and steam resistance. With a thickness of 0.8mm, this laminate offers durability and longevity, making it a wise investment for your home or office. Part of the prestigious StarLine 2020-22 collection from CenturyLaminates, this laminate draws inspiration from Indian Architectural Masterpieces, lending a touch of elegance and sophistication to your space. Additionally, the Virokill tech used in this laminate ensures that it kills microbes, making it a safe and hygienic choice for your interiors.",https://www.centuryply.com/centurylaminates/productImage/chiffon-80204-gloss.jpg,Wooden Material,Laminate,Chiffon 80204 G,LMNTGLSCHCON80204G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Mandarin Garnet 80219 G,Century Ply,"Introducing the stunning Centuryply Starline Laminate Mandarin Garnet 80219 G, an exquisite choice for your interiors. With a thickness of .8 mm, this laminate is crack-resistant, uniformly thick, and stain and steam-resistant, making it a durable and long-lasting option. Part of the StarLine 2020-22 collection, it draws inspiration from Indian architectural masterpieces, giving your space a touch of elegance. Plus, it features Virokill tech that kills microbes, ensuring a safe and hygienic environment. Upgrade your space with this gorgeous Mandarin Garnet Laminate.",https://www.centuryply.com/centurylaminates/productImage/starline-80219-gl-medium.jpg,Wooden Material,Laminate,Mandarin Garnet 80219 G,LMNTGLSMAGET80219G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Ivory 80121 G,Century Ply,"Introducing the Centuryply Starline Laminate Ivory 80121 G, a premium quality laminate that boasts a crack-resistant feature, uniform thickness, and resistance to stains and steam. At .8mm thickness, this laminate offers durability and longevity to any surface it is applied to. The StarLine 2020-22 collection takes inspiration from Indian Architectural Masterpieces, making this laminate an exquisite addition to any interior design. With the added Virokill tech, this laminate ensures a safe and hygienic environment by killing microbes. Upgrade your living space with the Centuryply Starline Laminate Ivory 80121 G.",https://www.centuryply.com/centurylaminates/productImage/ivory-80121-gossy.jpg,Wooden Material,Laminate,Ivory 80121 G,LMNTGLSIVIRY80121G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Electric Blue 83242 G,Century Ply,"The Centuryply Starline Laminate in Electric Blue 83242 G is a high-quality laminate that boasts a crack-resistant surface, uniform thickness, and excellent stain and steam resistance. With a thickness of .8mm, this laminate is durable and built to last. Part of the StarLine 2020-22 collection from CenturyLaminates, this laminate draws inspiration from Indian architectural masterpieces. Additionally, the Virokill technology used in the CenturyLaminates ensures that the surfaces are free from microbes, making them safe and hygienic for daily use.",https://www.centuryply.com/centurylaminates/designlibrary/image/83242-GL-New.jpg,Wooden Material,Laminate,Electric Blue 83242 G,LMNTGLSELBUE83242G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Treasure Maple 83351 G,Century Ply,"Introducing the Centuryply Starline Laminate Treasure Maple 83351 G, a premium quality flooring option perfect for those who seek durability and style. With a thickness of .8 mm, this laminate is built to last and features crack resistance, ensuring longevity and minimal wear and tear. It also boasts uniform thickness, stain resistance, and steam resistance, making it easy to clean and maintain. The StarLine 2020-22 collection takes inspiration from Indian architectural masterpieces, making this laminate a blend of modern and traditional design. Additionally, CenturyLaminates uses Virokill tech that kills microbes, ensuring a safe and hygienic environment. Add a touch of elegance to your home with the Centuryply Starline Laminate Treasure Maple 83351 G.",https://www.centuryply.com/centurylaminates/productImage/starline-83351-gl-medium.jpg,Wooden Material,Laminate,Treasure Maple 83351 G,LMNTGLSTRMLE83351G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Raulista Maple 83353 G,Century Ply,"The Centuryply Starline Laminate Raulista Maple 83353 G is a premium quality laminate that is designed to offer exceptional durability and aesthetic appeal. Featuring a crack-resistant construction, this laminate has a uniform thickness of 0.8 mm, making it perfect for use in high-traffic areas. Additionally, it is highly resistant to stains and steam, making it easy to maintain and clean. This laminate is part of the StarLine 2020-22 collection from CenturyLaminates, which draws inspiration from Indian architectural masterpieces. The Virokill tech used in its construction ensures that it is hygienic and safe to use.",https://www.centuryply.com/centurylaminates/productImage/starline-83353-gl-medium.jpg,Wooden Material,Laminate,Raulista Maple 83353 G,LMNTGLSRAMLE83353G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Cuely Maple 83352 G,Century Ply,"The Centuryply Starline Laminate Cuely Maple 83352 G is a high-quality laminate designed to bring a touch of elegance to any space. With a thickness of 0.8 mm, this laminate is uniform in thickness and crack-resistant, ensuring durability and longevity. Its stain and steam-resistant properties make it easy to clean and maintain, making it an ideal choice for high-traffic areas. This product is part of the StarLine 2020-22 collection from CenturyLaminates, which draws inspiration from Indian architectural masterpieces. Plus, it features Virokill tech that kills microbes, ensuring a safe and healthy environment.",https://www.centuryply.com/centurylaminates/productImage/starline-83352-gl-medium.jpg,Wooden Material,Laminate,Cuely Maple 83352 G,LMNTGLSCUMLE83352G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Figured Burl 80522 G,Century Ply,"The Centuryply Starline Laminate Figured Burl 80522 G is a premium quality laminate that boasts a crack resistant and uniform thickness design. With its .8 mm thickness, it is both stain and steam resistant, making it a practical and durable choice for any interior design project. Inspired by Indian architectural masterpieces, this laminate is part of the StarLine 2020-22 collection from CenturyLaminates. Additionally, it features Virokill tech which kills microbes, ensuring a safe and hygienic surface. Upgrade your interior design with the Centuryply Starline Laminate Figured Burl 80522 G.",https://www.centuryply.com/centurylaminates/productImage/starline-80522-gl-medium.jpg,Wooden Material,Laminate,Figured Burl 80522 G,LMNTGLSFIBRL80522G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Tiger Wood 83723 G,Century Ply,"The Centuryply Starline Laminate Tiger Wood 83723 G is a high-quality laminate that boasts a number of impressive features. With its crack-resistant construction, uniform thickness, and stain and steam resistance, this laminate is built to last. At .8 mm thickness, it provides a durable and sturdy surface for any room in your home or office. The StarLine 2020-22 collection draws inspiration from Indian architectural masterpieces, bringing a touch of elegance and sophistication to any space. Additionally, this laminate features Virokill technology, which kills microbes and ensures a safe and hygienic surface.",https://www.centuryply.com/centurylaminates/productImage/starline-83723-medium.jpg,Wooden Material,Laminate,Tiger Wood 83723 G,LMNTGLSTIWOD83723G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Sap Woodark 83686 G 2,Century Ply,"The Centuryply Starline Laminate Sap Woodark 83686 G 2 is a high-quality laminate that boasts superior crack resistance, uniform thickness, stain resistance, and steam resistance. With a thickness of .8 mm, this laminate is durable and long-lasting. Featuring designs inspired by Indian architectural masterpieces, the StarLine 2020-22 collection from CenturyLaminates is a great choice for those seeking both style and functionality. Plus, the Virokill tech used in its production ensures that it is safe and free from harmful microbes.",https://www.centuryply.com/centurylaminates/productImage/starline-83686-gl-medium.jpg,Wooden Material,Laminate,Sap Woodark 83686 G 2,LMNTGLSSAWRK83686G2,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Wenge Brew 80675 G,Century Ply,"Introducing the Centuryply Starline Laminate Wenge Brew 80675 G, a stunning addition to the StarLine 2020-22 collection. With a thickness of 0.8mm, this laminate boasts uniform thickness and is crack, stain, and steam resistant. Made with Virokill technology, it ensures safety by killing microbes. Inspired by Indian architectural masterpieces, this laminate is perfect for adding a touch of elegance to any space.",https://www.centuryply.com/centurylaminates/productImage/wenge_brew_80675.jpg.jpg,Wooden Material,Laminate,Wenge Brew 80675 G,LMNTGLSWEBEW80675G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Wenge Cream 80676 G,Century Ply,"Introducing the Centuryply Starline Laminate Wenge Cream 80676 G, a premium quality laminate designed to meet your everyday needs. With a thickness of .8 mm, this laminate features uniform thickness and crack resistance, ensuring durability and longevity. The Wenge Cream design draws inspiration from Indian architectural masterpieces, adding a touch of elegance to your interiors. This laminate is also stain and steam resistant, making it easy to maintain and clean. Additionally, it features the innovative Virokill technology from CenturyLaminates that kills microbes, ensuring a safe and healthy environment. Upgrade your interiors with the Centuryply Starline Laminate Wenge Cream 80676 G.",https://www.centuryply.com/centurylaminates/productImage/wenge-cream-80676-gloss.jpg,Wooden Material,Laminate,Wenge Cream 80676 G,LMNTGLSWECAM80676G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Rose Wood 80492 G,Century Ply,"Introducing the Centuryply Starline Laminate Rose Wood 80492 G, a stunning addition to any interior design project. With a thickness of 0.8 mm, this laminate is built to last and features a crack-resistant and uniform thickness design. Not only is it steam and stain-resistant, but it also features Virokill technology to ensure a safe and hygienic surface. Inspired by Indian architectural masterpieces, this laminate is perfect for adding a touch of elegance and sophistication to any space. Choose the Centuryply Starline Laminate Rose Wood 80492 G for a durable and beautiful solution to your interior design needs.",https://www.centuryply.com/centurylaminates/productImage/rose-wood-80492-gloss.jpg,Wooden Material,Laminate,Rose Wood 80492 G,LMNTGLSROWOD80492G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Magic Elm 80749 G,Century Ply,"Introducing the Centuryply Starline Laminate Magic Elm 80749 G, a premium laminate option for your home or office interiors. With a thickness of .8mm, this laminate is crack-resistant and has a uniform thickness, making it a durable and long-lasting choice. It also features stain and steam resistance, ensuring that your surfaces remain clean and hygienic. The StarLine 2020-22 collection takes inspiration from Indian Architectural Masterpieces and is consciously chosen. Plus, with Virokill tech that kills microbes, this laminate is safe and hygienic for everyday use. Upgrade your interiors with the Centuryply Starline Laminate Magic Elm 80749 G today.",https://www.centuryply.com/centurylaminates/productImage/magic-elm-80749.jpg,Wooden Material,Laminate,Magic Elm 80749 G,LMNTGLSMAELM80749G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Highland Pine 83532 G,Century Ply,"Introducing the Centuryply Starline Laminate Highland Pine 83532 G, a premium laminate that boasts of crack resistance, uniform thickness, stain and steam resistance. With a thickness of .8 mm, this laminate is built to last and withstand daily wear and tear. The StarLine 2020-22 collection draws inspiration from Indian architectural masterpieces, and this particular design features Virokill tech that kills microbes, ensuring a safe and hygienic environment. Upgrade your interiors with the Centuryply Starline Laminate Highland Pine 83532 G, a perfect blend of style and durability.",https://www.centuryply.com/centurylaminates/productImage/highland-pine-83532-gloss.jpg,Wooden Material,Laminate,Highland Pine 83532 G,LMNTGLSHIPNE83532G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Ebony Belts 83435 G,Century Ply,"Introducing the Centuryply Starline Laminate Ebony Belts 83435 G, a top-of-the-line laminate that boasts crack resistance, uniform thickness, stain resistance, and steam resistance. With a thickness of 0.8 mm, this laminate is durable and built to last. Part of the StarLine 2020-22 collection, it draws inspiration from Indian architectural masterpieces. The Ebony Belts design features Virokill tech that kills microbes, ensuring a safe and hygienic surface. Upgrade your space with this stunning and functional laminate today.",https://www.centuryply.com/centurylaminates/productImage/ebony_belts_83435.jpg,Wooden Material,Laminate,Ebony Belts 83435 G,LMNTGLSEBBTS83435G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Cherry Wood 80434 G,Century Ply,"Introducing the Centuryply Starline Laminate Cherry Wood 80434 G, a stunning addition to our laminate collection. This laminate features a uniform thickness of .8mm with crack resistance, making it durable and long-lasting. Its stain and steam resistance make it easy to maintain and perfect for high-traffic areas. The Cherry Wood design draws its inspiration from Indian Masterpieces, adding a touch of elegance to any space. Plus, with Virokill tech, this laminate is microbiologically safe and perfect for homes and offices.",https://www.centuryply.com/centurylaminates/productImage/cherry_wood_80434.jpg,Wooden Material,Laminate,Cherry Wood 80434 G,LMNTGLSCHWOD80434G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Heritage Walnut 80429 G,Century Ply,"Introducing the Centuryply Starline Laminate Heritage Walnut 80429 G, a stunning addition to the StarLine 2020-22 collection from CenturyLaminates. With a thickness of .8 mm, this laminate boasts uniform thickness and is crack resistant, making it durable and long-lasting. Its stain and steam resistance make it easy to clean and maintain, while the Walnut laminate Virokill tech ensures a safe and hygienic environment by killing microbes. Bring the beauty of Indian architectural masterpieces into your space with this gorgeous laminate.",https://www.centuryply.com/centurylaminates/productImage/heritage-walnut-80429-gloss.jpg,Wooden Material,Laminate,Heritage Walnut 80429 G,LMNTGLSHEWUT80429G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Sapeli 83541 G,Century Ply,"Introducing the Centuryply Starline Laminate Sapeli 83541 G, a premium laminate designed to elevate your interiors with its exquisite finish. This laminate boasts an impressive 0.8 mm thickness, making it incredibly durable and resistant to cracking. Its uniform thickness ensures a smooth and seamless surface, while its stain and steam resistance make it easy to clean and maintain. Part of the StarLine 2020-22 collection, this laminate draws inspiration from Indian architectural masterpieces, adding a touch of elegance and sophistication to any space. Additionally, it features Virokill tech that eliminates harmful microbes, ensuring a safe and hygienic environment.",https://www.centuryply.com/centurylaminates/productImage/sapeli-83541-gloss.jpg,Wooden Material,Laminate,Sapeli 83541 G,LMNTGLSSASLI83541G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
